"",weight,が良く,の良い,がよく,のよい,もよく,が良いです,も良いです,も良く,が悪い,が悪く,がいいです,も良好です,が良い,が良いので,が悪いと,がよい,は良好です,の悪い,がいい,もいいです,は良い,がいいので,の高い,は良く,が悪いです,もいい,が良くて,も良いので,が良いのか,が良くない,が良いと,は良いです,が感じます,を考えると,はいいと,がいいと,もよい,も良い,が悪いので,が高い,もいいですね,がよいです,も悪くなく,は良いと,は感じです,はいいですね,があります,といい,はいいです,も気に入っています,もいいし,もある,も良いですね,のある,も満足しています,も良いと,にありません,にある,がイマイチ,は悪いです
weight,"",1.51837920259993e-19,1.5155505733503e-19,1.41804740368255e-19,1.35826601767207e-19,1.20951258003967e-19,1.16632757944972e-19,1.11852080990016e-19,1.11677203769128e-19,1.11296828647167e-19,1.09754276607311e-19,1.02329268615715e-19,9.79208998347403e-20,9.36077210785136e-20,9.32885733620432e-20,9.17847139198689e-20,9.0155366100859e-20,8.80271252538038e-20,8.70566815651854e-20,8.41773151806477e-20,8.17042855667462e-20,7.89629141367207e-20,7.87199287908312e-20,7.85698863699094e-20,7.85131154463959e-20,7.24989779201327e-20,7.24570122669586e-20,7.08427534551888e-20,6.88258832939228e-20,6.83168553944892e-20,6.69237016009555e-20,6.65771612047834e-20,6.62228389783769e-20,6.55720627573148e-20,6.50362582081613e-20,6.4844943255277e-20,6.42262825274527e-20,6.41185474230821e-20,6.37821696118447e-20,6.37653336243075e-20,6.32998828122874e-20,6.3254820784841e-20,6.14754986741039e-20,6.06264382972431e-20,5.97144689273674e-20,5.96887404315563e-20,5.95179302271829e-20,5.93631236156948e-20,5.93563596085483e-20,5.87044212827517e-20,5.86549490298709e-20,5.8447196969386e-20,5.82542816396163e-20,5.75353994842731e-20,5.74556994444475e-20,5.71545163527726e-20,5.52077328580935e-20,5.51288097416576e-20,5.50113936136929e-20,5.45242649372995e-20,5.34278380547758e-20
感度,6.34215408020958e-21,2,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,6.22596994461782e-21,4,7,0,1,1,1,0,4,2,0,1,0,4,1,1,0,1,0,5,0,3,2,0,2,0,3,2,0,0,0,2,4,0,0,2,1,1,2,0,0,0,0,1,5,1,4,0,0,7,0,0,0,0,0,1,2,2,2,0,0
携帯性,6.19467013819922e-21,2,11,0,0,6,5,2,12,3,2,1,0,6,1,2,3,3,0,1,1,3,5,0,4,1,0,1,1,0,0,1,3,0,3,0,1,0,1,2,1,1,0,1,12,2,0,0,1,10,0,4,0,0,0,0,2,1,0,0,5
操作性,6.18504058023519e-21,8,4,3,0,5,4,9,12,6,0,3,3,4,2,0,2,6,1,1,3,2,2,0,2,2,5,0,1,0,1,2,6,0,3,9,0,0,8,0,3,0,1,1,10,3,1,0,1,4,0,0,0,0,0,2,6,3,1,1,3
もち,6.09544256804034e-21,0,0,0,0,0,1,1,0,7,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,2,0,1,0,0,1,1,1,1,1,2,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
音,6.06294839777448e-21,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
反応,5.95472672243102e-21,1,2,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,5.93707603598662e-21,1,4,0,1,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
見た目,5.90682963020317e-21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
出来,5.82956442430428e-21,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ヌケ,5.62883800307683e-21,2,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,5.58396910204591e-21,0,0,1,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ボケ味,5.56302910852519e-21,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0
シャッター音,5.45424480608237e-21,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0
デザイン,5.24039287995525e-21,3,1,1,0,1,2,2,7,0,0,0,0,7,2,0,1,1,0,1,3,2,0,0,0,0,2,0,0,0,0,1,2,0,0,6,1,0,2,0,0,0,0,1,11,5,0,0,1,3,3,3,0,0,1,1,4,0,0,0,0
位置,5.17889672273238e-21,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0
操作感,5.0980897758497e-21,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,2,0,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
配置,5.0647950854425e-21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
精度,4.98501651842275e-21,2,2,0,0,0,0,1,1,2,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0
描写力,4.9520187629837e-21,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,1,0,0,0,4,0,0,0,3,0,0
感触,4.79032414031021e-21,1,0,0,0,1,2,1,0,0,0,0,0,2,0,0,1,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,6,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
天気,4.75399245823385e-21,0,15,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,4.73141028489083e-21,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0
切れ,4.70182477192301e-21,3,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,7,0,0,0,0,0,0
補正,4.64923759034374e-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,7,1,1,0,0,0,1
カメラ,4.6454495714152e-21,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
条件,4.50362900322249e-21,0,2,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,4.45975985918524e-21,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
電池持ち,4.44863299514083e-21,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,4.32710089954101e-21,0,0,0,0,0,1,1,0,0,0,2,0,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,1,0,0
