"",weight,が良く,の良い,がよく,のよい,もよく,の悪い,が良いです,も良く,も良好です,も良いです,がいいです,が良い,が悪く,が悪い,が悪いと,もいいです,が良いのか,は良い,は良好です,が良いので,がいい,にある,の高い,がよい,もいい,は良く,もよい,もいいですね,があり,があります,は良いです,のある,がいいので,が良くて,も良い,も悪くなく,はいいと,で満足しています,も良いので,といい
weight,"",1.51897636242187e-16,1.42034288108208e-16,1.37606663062827e-16,1.36159102252228e-16,1.16167759002896e-16,1.14599282082348e-16,1.11644920229945e-16,1.07297950991256e-16,1.03332230619475e-16,1.02719446934296e-16,9.76553709112e-17,9.1570710137234e-17,9.035200820777e-17,8.28973324153342e-17,8.07278886549356e-17,8.02951670696515e-17,7.87539932260747e-17,7.83148876456399e-17,7.77030076519624e-17,7.58186987464426e-17,7.42908138386698e-17,7.23772399227822e-17,7.21614194725305e-17,7.08568099156904e-17,7.02251528163338e-17,7.0166035093145e-17,6.72379036653568e-17,6.5228755547983e-17,6.45877152500269e-17,6.41426822037611e-17,6.19077172295261e-17,6.17725927338362e-17,6.10572588159466e-17,6.07456876388405e-17,6.02942862945491e-17,5.96932934723857e-17,5.88642691646118e-17,5.84481447231635e-17,5.81540118752159e-17,5.73947545474368e-17
感度,6.67402621201735e-18,2,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色,6.62929983911859e-18,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,2,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
位置,6.56430044852621e-18,0,0,0,0,1,1,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
操作感,6.39260872607136e-18,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0
配置,6.36434513481342e-18,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,6.32263791744128e-18,0,15,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,6.24910007087845e-18,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
性能,6.14754156105336e-18,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,1,2,1,1,4,0,0,0,0,0,2,0,0,1,2,0,0,3,1,0,2
精度,6.11496498774404e-18,2,2,0,0,0,0,0,1,0,1,0,2,0,2,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0
描写力,6.04567107338332e-18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,1,4,2,0,0,0,0,0,0,0
電池持ち,5.84596751304862e-18,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
シャッター音,5.73797354547382e-18,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
感触,5.55979978280039e-18,1,0,0,0,1,0,2,0,0,1,0,2,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,1,0,1,2,0,0,0,1,0
色合い,5.54820494696323e-18,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
カメラ,5.31326881622668e-18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,2,0,0
画像,5.30210850843523e-18,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,1,0
もち,5.28546293613924e-18,0,0,0,0,0,0,1,0,0,1,0,1,0,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0
画質,5.24200666796185e-18,6,2,1,1,11,2,6,14,2,5,6,24,0,12,4,9,1,7,2,5,9,3,0,1,4,7,0,1,1,1,13,0,1,2,10,3,11,8,0,3
