"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,がいいです,も良好です,が良い,が良いので,がよい,が悪いと,は良好です,がいい,もいいです,は良く,の悪い,は良い,がいいので,もいい,が悪いです,も良い,が良くて,はいいと,が良いと,も良いので,は良いです,のある,の高い,はいいですね,が感じます,が良くない,を考えると,がいいと,が良いのか,も悪くなく,が高い,が悪いので,は良いと,があります,はいいです,もいいですね,もよい,は感じです,も満足しています,がよいです,といい,も良いと,が違います,も気に入っています,もいいし,は悪いです,も高く,もある,も良いですね,にありません,はありません,があり,も良好,にある,がイマイチ,が高いので,は良いのですが,もあります,がいいですね,もありません
weight,"",1.20373458546049e-17,1.18134219449873e-17,1.12911105398716e-17,1.04379944179154e-17,9.83909782587107e-18,9.66000019050832e-18,9.47846577773764e-18,9.28346417795681e-18,9.16332114007173e-18,8.86418658830533e-18,8.05476214497474e-18,7.68306441780549e-18,7.58689137443882e-18,7.54935519222767e-18,7.45411947542967e-18,7.28870766591825e-18,7.09783385249233e-18,7.09109234026691e-18,6.7318113762479e-18,6.50096696696935e-18,6.41473157249125e-18,6.29167348566051e-18,6.21083716229095e-18,6.03010661303224e-18,5.77271219663198e-18,5.76806758751302e-18,5.71440538383709e-18,5.70866583681133e-18,5.62819912576812e-18,5.58272751419582e-18,5.53206725729272e-18,5.51844241857962e-18,5.32549186077383e-18,5.31441747167934e-18,5.28967662578896e-18,5.26859603783884e-18,5.23768418341286e-18,5.22593399526895e-18,5.16155284854001e-18,5.14493883574371e-18,5.11053695998534e-18,5.04509060766177e-18,5.02604533152731e-18,4.96961357044725e-18,4.9143961853753e-18,4.88040738325484e-18,4.85600236078169e-18,4.76615177455806e-18,4.76299838095946e-18,4.75338793520409e-18,4.7357003352617e-18,4.73398740648541e-18,4.70738676335482e-18,4.68334264666436e-18,4.64228691369856e-18,4.56501753423748e-18,4.55968961518885e-18,4.55927007551359e-18,4.52579706648246e-18,4.44981952951744e-18,4.37986601856818e-18,4.35211466393956e-18,4.30938787793754e-18,4.2783837823994e-18,4.25995668841901e-18,4.23263782823079e-18,4.21684775404242e-18,4.14573041977505e-18,4.13729638699624e-18,4.07758448874203e-18
重量バランス,4.70651419211541e-19,3,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
携帯性,4.69395730498495e-19,2,11,0,0,5,6,3,2,12,2,1,0,6,1,3,2,3,1,1,4,0,3,5,0,1,1,1,0,1,1,3,0,0,0,0,0,3,1,0,1,1,2,12,0,10,1,0,2,0,0,1,2,0,0,4,5,1,0,0,1,11,0,0,0,0,1,5,0,0,1
描写,4.64950931320404e-19,1,2,0,0,0,0,0,3,6,0,1,1,0,2,0,0,0,1,1,3,0,1,1,1,0,1,2,0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0
視認性,4.60009035438449e-19,0,2,1,0,0,0,1,0,2,2,1,0,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
デザイン,4.53834496357729e-19,3,1,1,0,2,1,0,2,7,0,0,0,7,2,1,0,1,1,3,0,0,2,0,2,0,2,0,6,1,0,2,1,0,0,0,0,0,1,0,1,0,0,11,0,3,0,0,5,1,0,1,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1
もち,4.53292833408997e-19,0,0,0,0,1,0,7,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,2,0,1,2,1,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ホールド性,4.49261716283058e-19,4,0,1,0,2,0,2,0,0,1,0,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
感度,4.41062194401754e-19,2,1,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
写り,4.39664677865309e-19,4,7,0,1,1,1,2,0,4,0,1,0,4,1,0,1,1,5,0,2,0,3,2,3,0,2,2,2,2,0,4,0,0,4,0,0,0,1,0,1,0,0,5,0,7,0,1,1,1,0,0,2,4,0,0,0,1,0,0,2,6,0,0,2,0,0,1,1,0,8
質,4.23306780010313e-19,1,4,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反応,4.09731344208124e-19,1,2,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,4.04396980051031e-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
音,3.98748150465448e-19,0,0,0,0,0,0,1,0,1,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
シャッター音,3.88590432007193e-19,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
取り回し,3.82015113808212e-19,0,0,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
操作感,3.79763606330153e-19,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,2,2,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
出来,3.78311050874149e-19,0,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
描写力,3.76378598387715e-19,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,4,0,3,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,2,0,0,0,1
ヌケ,3.74243755494316e-19,2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,3.7419725675922e-19,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
精度,3.73921420539418e-19,2,2,0,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,1,1,3,0,0,0,1
感触,3.72109031049681e-19,1,0,0,0,2,1,0,1,0,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,1,2,1,0,1,1,6,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0
画質,3.63722564916905e-19,6,2,1,1,6,11,12,5,14,0,6,2,24,5,1,4,2,9,9,7,2,7,1,4,4,10,2,11,13,0,13,0,0,2,0,1,2,1,1,3,0,2,19,1,11,1,0,2,11,0,3,6,2,3,2,3,0,0,0,3,18,1,1,3,1,0,4,0,1,6
位置,3.58202939794616e-19,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
配置,3.57884998914979e-19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
性能,3.3810963228703e-19,0,5,0,0,0,0,0,0,3,0,0,0,2,1,4,0,0,2,0,0,0,1,1,0,0,0,2,3,1,0,0,0,1,0,1,0,12,0,0,0,2,0,3,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
解像度,3.31149633999204e-19,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,2,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,2,1,1,0,0,2,0,1,0,0
画像,3.24288939819324e-19,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1
色合い,3.16752616056192e-19,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,3.15251328963099e-19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2
天気,3.13921793058571e-19,0,15,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,3.13491011320218e-19,3,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0
質感,3.11767244537069e-19,5,1,1,0,2,2,1,2,5,0,1,2,4,0,1,0,1,4,5,0,0,0,0,0,0,6,1,2,1,0,4,2,5,1,1,0,0,0,0,1,9,0,4,3,5,0,0,4,1,0,4,3,1,2,0,0,4,0,0,0,2,4,0,1,0,0,1,2,2,0
条件,3.04991034764305e-19,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,2.99046772393385e-19,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1
ボケ,2.98289533532166e-19,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
音質,2.96645181061184e-19,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
電池持ち,2.95342478207051e-19,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
カメラ,2.85095537658556e-19,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,1
感じ,2.78792034502392e-19,0,0,0,0,1,0,0,1,0,0,2,0,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,1,0,0,0,2,1,1
コントラスト,2.76203073200022e-19,0,1,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0
ボケ具合,2.71005368051691e-19,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,2.6928141108516e-19,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,2.66451993317029e-19,1,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,1,0,3,0,1,1,3,2,0,10,0,0,1,1,0,0,1,0,0,0,0,2,0,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,8,5,0,6,0,0,0,0,2,1
ホールド,2.65254949602192e-19,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
バッテリー,2.56019781547866e-19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,0,9,0,0,0,0,0,0,0,0,1
液晶,2.55761766818e-19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1
大きさ,2.55656997059014e-19,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,8,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1
AF,2.5380119810912e-19,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,6,1,0,1,0,0,0,1,0,1
重さ,2.51934416078973e-19,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,1,0,0,0,1,0,0
グリップ感,2.51705818676396e-19,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
コストパフォーマンス,2.46692830698139e-19,1,5,0,0,0,1,0,0,1,0,0,0,5,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,4,0,36,3,0,0,10,0,0,0,14,0,8,0,1,3,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
キレ,2.46616503803663e-19,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
解像感,2.37968776005707e-19,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,2,0,1,4,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,3,0,0
・画質,2.31969517790395e-19,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,2.30123028122505e-19,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ファインダー,2.28310738785396e-19,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動画,2.25169032405652e-19,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
撮影,2.20617566600524e-19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
グリップ,2.14968483750006e-19,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
トータルバランス,2.13072652121276e-19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,2.12272525596053e-19,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
