"",weight,バランス,色乗り,持ち,使い勝手,発色,色のり,レスポンス,評判,気持ち,操作性,ホールド感,携帯性,視認性,相性,重量バランス,色,写り,デザイン,描写,もち,ホールド性,感度,質,反応,見た目,音,描写力,シャッター音,取り回し,精度,操作感,出来,ボケ味,画質,ヌケ,感触,位置,配置,性能,解像度,画像,補正,色合い,天気,切れ,条件,質感,AF精度,音質,ボケ,電池持ち,コントラスト,カメラ,感じ,ボケ具合,レンズ,フィーリング,ホールド,大きさ,バッテリー,液晶,AF,グリップ感,重さ,キレ,コストパフォーマンス,解像感,・画質,気分,動画
weight,"",1.98510475841429e-16,1.79565760159732e-16,1.75732013103662e-16,1.68528764281878e-16,1.66122244981192e-16,1.63314774719446e-16,1.62175729542724e-16,1.59110834073463e-16,1.50869963640658e-16,1.44919058964568e-16,1.41800443253205e-16,1.40938060968274e-16,1.40170902272081e-16,1.40119520651747e-16,1.3805157201922e-16,1.38029934288797e-16,1.36906059811215e-16,1.34796279275621e-16,1.34718596350513e-16,1.32648966834563e-16,1.32482567762914e-16,1.29179661233412e-16,1.26949656664485e-16,1.19886227359841e-16,1.18793505406917e-16,1.17279188741712e-16,1.14526201465701e-16,1.13689288350555e-16,1.11775804095643e-16,1.11583281289583e-16,1.10793370111703e-16,1.1057887967215e-16,1.1045083552488e-16,1.09954745940961e-16,1.09663722273051e-16,1.07847977060165e-16,1.05105047031327e-16,1.04849193590632e-16,1.00027498034253e-16,9.97166116621604e-17,9.57436976418923e-17,9.3319382862709e-17,9.27070337563006e-17,9.19382136554967e-17,9.122021512218e-17,8.9588814308489e-17,8.85959624960861e-17,8.84863747104302e-17,8.70440022170978e-17,8.69671273584674e-17,8.61707705067467e-17,8.52509938307455e-17,8.41565429033597e-17,8.28366725868561e-17,7.93808958252318e-17,7.89361328561116e-17,7.88632653670921e-17,7.71959729631534e-17,7.59365944059579e-17,7.56289970444237e-17,7.55357420590851e-17,7.48609099010792e-17,7.37680758977185e-17,7.31269439176486e-17,7.17957156943687e-17,7.10497879486421e-17,6.89966476369401e-17,6.84176097999514e-17,6.73150702130641e-17,6.64565338589398e-17
が良いので,7.54935519222767e-18,2,0,2,3,1,0,1,6,0,2,3,1,0,1,0,1,1,2,2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,7.45411947542967e-18,3,0,6,6,0,0,0,0,2,2,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,4,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0
が悪いと,7.28870766591825e-18,4,1,6,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良好です,7.09783385249233e-18,3,1,0,5,1,0,0,0,0,6,9,3,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,7.09109234026691e-18,4,0,10,1,3,0,1,3,9,1,1,1,0,0,0,2,5,1,1,1,1,0,0,0,2,0,0,0,0,0,2,0,0,9,0,1,0,0,2,0,0,1,0,0,0,0,4,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,1,0,2,1,0
もいいです,6.7318113762479e-18,0,0,6,1,1,0,1,0,0,3,3,1,0,2,1,0,0,3,1,1,0,0,0,0,2,0,0,0,0,1,1,0,3,9,0,3,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0
は良く,6.50096696696935e-18,3,0,2,1,0,0,1,1,0,2,1,4,2,2,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,6.41473157249125e-18,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,6.29167348566051e-18,2,0,4,1,0,1,1,0,0,2,7,3,0,0,0,2,3,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
がいいので,6.21083716229095e-18,0,0,6,1,0,0,1,2,1,2,1,5,0,0,0,1,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
もいい,6.03010661303224e-18,2,0,0,1,1,0,0,2,0,5,3,0,0,0,0,2,3,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0
が悪いです,5.77271219663198e-18,2,0,10,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
も良い,5.76806758751302e-18,1,0,4,1,0,0,1,1,0,8,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,10,0,2,0,0,0,1,1,0,1,0,0,0,6,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,2,3,0,0,0,1,0,0
が良くて,5.71440538383709e-18,1,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいいと,5.70866583681133e-18,4,0,0,3,0,0,0,0,0,9,0,0,0,2,0,0,2,6,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,11,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0
が良いと,5.62819912576812e-18,9,0,2,6,0,0,0,0,0,2,1,1,0,2,2,0,2,1,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,13,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
も良いので,5.58272751419582e-18,3,0,4,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
は良いです,5.53206725729272e-18,5,1,10,10,2,1,1,0,0,6,14,3,0,0,0,0,4,2,5,1,2,0,0,0,0,0,1,0,0,1,1,1,0,13,0,6,0,0,0,1,2,0,0,0,0,0,4,1,0,1,0,0,2,3,0,10,1,5,2,5,7,2,1,2,0,4,1,0,0,0
のある,5.51844241857962e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,2,0,7,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,6,0,0,0
の高い,5.32549186077383e-18,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,5,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0
はいいですね,5.31441747167934e-18,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,3,0,1,0,0
が感じます,5.28967662578896e-18,3,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が良くない,5.26859603783884e-18,1,0,5,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
を考えると,5.23768418341286e-18,8,0,0,4,0,0,0,0,0,3,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,10,0,0,0,0
がいいと,5.22593399526895e-18,4,0,2,3,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が良いのか,5.16155284854001e-18,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,5.14493883574371e-18,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
が高い,5.11053695998534e-18,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,9,1,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,14,2,0,0,0
が悪いので,5.04509060766177e-18,1,0,5,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,5.02604533152731e-18,8,0,8,5,0,1,1,0,0,10,4,12,0,1,0,1,5,11,0,1,0,0,0,2,0,0,1,0,0,2,1,0,0,19,0,1,0,0,3,0,0,1,1,0,0,0,4,0,0,0,0,0,1,1,0,2,0,1,1,1,2,0,0,0,0,8,1,0,0,0
があります,4.96961357044725e-18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,2,0,1,0,0,0,1,1,3,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,2,0,0,4,0,0,1
はいいです,4.9143961853753e-18,0,1,1,3,1,0,0,0,0,4,2,10,0,1,0,0,7,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,11,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,3,0,0,4,2,0,2,0,1,0,0,2,0,1,0,0,0,1
もいいですね,4.88040738325484e-18,0,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
もよい,4.85600236078169e-18,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,4.76615177455806e-18,0,0,2,0,1,2,0,0,0,3,3,2,1,0,0,1,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,1,1,0,0,0,4,0,0,1,0,1,0,0,0,1,0,0,1,4,2,0,0,0,0,0,1,0,0,1
も満足しています,4.76299838095946e-18,1,0,1,0,4,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
がよいです,4.75338793520409e-18,0,0,1,5,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
といい,4.7357003352617e-18,0,2,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,3,0,0,0
も良いと,4.73398740648541e-18,11,0,1,1,0,1,0,0,0,6,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1
が違います,4.70738676335482e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
も気に入っています,4.68334264666436e-18,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
もいいし,4.64228691369856e-18,0,0,0,1,2,1,0,0,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は悪いです,4.56501753423748e-18,1,0,6,0,1,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
も高く,4.55968961518885e-18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
もある,4.55927007551359e-18,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
も良いですね,4.52579706648246e-18,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
にありません,4.44981952951744e-18,0,0,1,1,0,0,0,0,0,3,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
はありません,4.37986601856818e-18,0,0,9,4,1,0,1,0,1,11,9,11,0,1,0,0,6,0,4,0,1,0,0,0,0,0,2,0,0,1,0,0,1,18,0,2,0,0,1,2,3,1,0,0,0,0,2,1,2,0,1,0,6,6,0,8,0,1,2,9,1,6,1,1,0,0,0,0,0,0
があり,4.35211466393956e-18,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4,0,4,0,0,2,0,1,1,1,0,5,0,0,1,0,0,1,0,4,1,0,8,0,0,0
も良好,4.30938787793754e-18,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にある,4.2783837823994e-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,3,0,1,1,1,0,0,3,0,0,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,2,1,0,1,0,0,0,0,0,1
がイマイチ,4.25995668841901e-18,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
が高いので,4.23263782823079e-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
は良いのですが,4.21684775404242e-18,0,0,1,0,0,1,1,0,0,4,3,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
もあります,4.14573041977505e-18,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,1
がいいですね,4.13729638699624e-18,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,4.07758448874203e-18,0,0,0,1,1,0,0,0,0,1,5,1,1,0,0,0,8,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,6,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
は落ちますが,4.0338782686188e-18,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良くて,4.01824921009348e-18,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はよく,3.93093638884479e-18,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
で満足しています,3.91335232716473e-18,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
を考えて,3.89146735405735e-18,2,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
も良いし,3.87566921338287e-18,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
