"",weight,が良く,の良い,がよく,のよい,が良いです,が悪い,もよく,も良く,も良いです,が悪く,が良い,がいいです,がよい,も良好です,が良いので,がいい,が悪いと,もいいです,は良好です,は良く,がいいので,の高い,は良い,はいいと,もいい,は良いです,のある,が良くて,も良い,が悪いです,が良いと,は良いと,の悪い,も良いので,はいいですね,が高い,が感じます,はありません,が良くない,があります,も高く,がいいと,も良いと,が悪いので,も悪くなく,はいいです,は悪いです,を考えると,もいいですね,があり,が良いのか,も満足しています,は感じです,といい,が高いので,にありません,も気に入っています,が違います,がよいです,が高く,もよい,は良いのですが,もいいし,が高いです,がイマイチ,も良いですね,もありません,もある,がいいですね,になります,にある,は最高です,もあり,はよく,も良好,は高いです,も良いし,は落ちますが,もあります,は高い
weight,"",1.92884787067119e-15,1.87561752597967e-15,1.75762409173812e-15,1.59973156196609e-15,1.597546289832e-15,1.56376399085754e-15,1.56070272793025e-15,1.52946017492434e-15,1.4958734091761e-15,1.39923353072728e-15,1.39334524653567e-15,1.33117797947884e-15,1.28489948597817e-15,1.21755420517186e-15,1.2036704351278e-15,1.20082919113829e-15,1.15971439682069e-15,1.14560126304217e-15,1.12911150871205e-15,1.10111661314938e-15,1.03917767207392e-15,1.00495047310771e-15,1.00472957165316e-15,9.86465827475738e-16,9.79830752289624e-16,9.78838361599932e-16,9.74891193568337e-16,9.61398957237021e-16,9.57880982585746e-16,9.5462125702575e-16,9.54604161825657e-16,9.52333818688336e-16,9.49770531506348e-16,9.45927292977816e-16,9.03390208952245e-16,8.63113721601125e-16,8.52862719511913e-16,8.45053640422408e-16,8.43585965662934e-16,8.39334188083792e-16,8.35543311684283e-16,8.35173910111913e-16,8.3029929059208e-16,8.26112758054397e-16,8.20292003613241e-16,8.14637943807076e-16,8.02134563797988e-16,7.8282933287615e-16,7.82753544342832e-16,7.81540616082782e-16,7.81013718665397e-16,7.77324061897578e-16,7.71105501918661e-16,7.6953456249861e-16,7.65284042270796e-16,7.61247308920116e-16,7.6071765313272e-16,7.57450373366953e-16,7.5476620446342e-16,7.49358313998195e-16,7.3535303928976e-16,7.30339509985406e-16,7.28567901454101e-16,7.26331425740753e-16,7.18394587228262e-16,7.12382536342606e-16,7.06305671282326e-16,7.06227613043982e-16,6.99924582450475e-16,6.99889466165642e-16,6.98769001116286e-16,6.91532407533249e-16,6.86843133537773e-16,6.84448239024709e-16,6.81404216161383e-16,6.76220397504978e-16,6.74788419291497e-16,6.74329971811247e-16,6.73709453683818e-16,6.64410348188692e-16
デザイン,7.52488560662691e-17,3,1,1,0,2,0,1,7,2,0,7,0,1,0,2,1,0,3,1,0,0,0,2,6,2,2,1,0,2,0,1,11,0,0,0,0,0,0,0,0,0,1,4,0,1,3,0,0,0,0,0,1,5,1,0,0,3,0,0,0,0,2,3,0,0,0,1,0,4,1,0,2,0,1,0,0,2,0,0,0
相性,7.48660338682828e-17,1,1,0,0,2,0,0,3,3,0,2,0,1,0,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
気持ち,7.43694589565161e-17,0,13,1,3,2,0,0,0,0,0,7,9,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
もち,7.16946982346652e-17,0,0,0,0,1,7,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,0,1,0,1,0,2,1,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
視認性,7.16865466756621e-17,0,2,1,0,0,1,0,2,0,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
写り,7.13184754100756e-17,4,7,0,1,1,2,1,4,0,0,4,1,0,0,1,5,1,0,1,2,2,0,3,2,3,4,0,2,2,0,2,5,0,0,4,0,0,6,0,0,1,1,2,0,1,7,0,0,0,0,0,1,1,0,0,2,0,4,0,0,1,1,0,0,0,0,8,0,0,3,2,4,0,0,0,0,1,0,1,0
重量バランス,6.77859238560031e-17,3,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画質,6.71851225664768e-17,6,2,1,1,6,12,11,14,5,0,24,6,1,2,5,9,4,9,2,7,1,0,7,11,4,13,0,2,10,4,13,19,2,0,2,0,0,18,1,1,0,1,6,2,3,11,3,2,1,1,1,11,2,3,0,3,3,2,0,0,0,4,2,0,1,0,6,0,1,5,3,7,1,2,1,0,2,5,0,0
描写,6.68748690875313e-17,1,2,0,0,0,0,0,6,3,0,0,1,0,1,2,1,0,1,0,3,1,0,1,0,1,5,0,2,1,0,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,7,5,1,0,1,0,1,0,0,0,0
感度,6.68548542184881e-17,2,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ホールド性,6.650415295666e-17,4,0,1,0,2,2,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
色,6.61838570407517e-17,0,0,0,0,0,2,0,1,0,1,1,1,0,0,1,2,0,0,1,0,1,0,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0
質,6.47468470267689e-17,1,4,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
感触,6.14165904316537e-17,1,0,0,0,2,0,1,0,1,0,2,0,1,0,0,1,0,3,0,0,0,0,0,0,0,6,1,1,2,1,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
精度,6.12462925124861e-17,2,2,0,0,0,2,0,1,1,0,2,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,2,0,4,0,1,0,1,3,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
見た目,6.04432236835661e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
描写力,5.99338457214989e-17,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,4,0,0,0,0,1,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,1,0,0
反応,5.97811098760251e-17,1,2,1,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,5.88260753811596e-17,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,5.77985411902352e-17,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,0,1,2,1,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ボケ味,5.69075445549478e-17,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
性能,5.67249240329055e-17,0,5,0,0,0,0,0,3,0,0,2,0,4,0,1,2,0,0,0,0,1,1,1,3,0,0,0,2,0,0,1,3,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,12,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0
シャッター音,5.6492449873301e-17,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
取り回し,5.52533202034078e-17,0,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
出来,5.40804167685991e-17,0,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,5.40137536898699e-17,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,0,5,1,0,0,1,2,0,1,1,0,0,0,0,0,6,0,2,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,8,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,2,0,1,1,0
ヌケ,5.37092979661465e-17,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質感,5.25105670557252e-17,5,1,1,0,2,1,2,5,2,0,4,1,1,2,0,4,0,5,1,0,0,5,0,2,0,4,2,1,6,0,1,4,0,0,1,9,1,2,0,3,4,0,3,0,1,5,0,0,0,4,0,1,4,4,0,0,2,1,0,6,0,1,0,2,0,0,0,0,2,0,1,4,3,0,0,2,0,1,2,2
位置,5.25079915950662e-17,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
配置,5.01211343772475e-17,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
AF精度,4.98751323990118e-17,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
コントラスト,4.87339926814693e-17,0,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
補正,4.82378010158409e-17,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,7,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,4,0,0,1,0,0,0,0
コストパフォーマンス,4.71612991287651e-17,1,5,0,0,0,0,1,1,0,0,5,0,3,0,0,1,0,0,0,0,1,36,0,1,1,4,0,0,0,0,2,8,0,0,3,14,0,0,0,0,4,0,2,0,0,1,0,10,3,0,0,0,0,1,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,2
切れ,4.6973492411988e-17,3,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
色合い,4.65492805601682e-17,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
画像,4.6505085205436e-17,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0
ボケ,4.50377120586114e-17,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
天気,4.49793613245369e-17,0,15,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,4.44335056722159e-17,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,4.34340003560184e-17,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
レンズ,4.29159981676583e-17,1,5,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,3,10,0,1,1,0,2,2,2,0,1,0,1,8,0,0,0,1,0,0,0,4,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,0,0,1,0,1,0,0,0,1
電池持ち,4.25168345945593e-17,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液晶,4.24745264520038e-17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1
解像感,4.19942457699004e-17,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,8,0,0,1,3,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1
ホールド,4.19744661504326e-17,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,4.18051439518369e-17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,1,1,0,6,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,2,0
重さ,4.10406795307932e-17,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0,2,0,2,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0
バッテリー,4.0708767488082e-17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,4.02435168353224e-17,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
フィーリング,3.99727303664755e-17,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ具合,3.96471345596898e-17,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キレ,3.90449818401274e-17,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
大きさ,3.88178606355652e-17,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,8,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
