"",weight,持ち,レスポンス,色乗り,もち,視認性,ホールド感,バランス,操作性,色のり,携帯性,使い勝手,評判,位置,感度,気持ち,重量バランス,写り,ホールド性,発色,相性,反応,質,音,出来,ヌケ,精度,ボケ味,描写力,描写,色,デザイン,配置,条件,解像度,感触,見た目,取り回し,操作感,AF精度,補正,天気,画像,質感,画質,性能,カメラ,切れ,レンズ,音質,コントラスト
weight,"",2.62315198369028e-06,1.98791472878666e-06,1.89589110531745e-06,1.82563385925829e-06,1.81172436257035e-06,1.78778145518956e-06,1.77682603952187e-06,1.76455224158111e-06,1.73083092326221e-06,1.71597342321405e-06,1.6996271184664e-06,1.68566986859728e-06,1.65111988374676e-06,1.64855114198982e-06,1.59517728260462e-06,1.59462723898894e-06,1.55406425491701e-06,1.54907599399249e-06,1.54645739908503e-06,1.54152637147997e-06,1.5141454728602e-06,1.43748715078938e-06,1.42638404970755e-06,1.35560423161428e-06,1.32026040461866e-06,1.2727666787451e-06,1.25905432727049e-06,1.23201634833366e-06,1.22754959093402e-06,1.22185385097933e-06,1.21748572313022e-06,1.17332774369354e-06,1.17304259094327e-06,1.17019081100999e-06,1.16655783461824e-06,1.15999659988399e-06,1.14238712493976e-06,1.1281900030199e-06,1.12644269239911e-06,1.10412002180206e-06,1.10190103649539e-06,1.09120707361852e-06,1.09005142395711e-06,1.07477382724951e-06,1.06923876357361e-06,1.06665599685407e-06,1.04435147773584e-06,1.03080281402228e-06,1.00775448671314e-06,9.89819862828528e-07
が良いので,8.72373672443871e-08,2,1,0,0,0,3,2,2,0,1,3,6,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,0,0,0
は良く,8.52306536150746e-08,2,1,0,0,2,1,3,2,0,4,1,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,1,2,0,0,0,7,0,0,0,1,0,0
がいい,8.43092609296676e-08,10,1,0,1,0,1,4,1,0,1,1,3,0,0,9,0,5,1,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,0,2,0,1,0,0,4,9,2,0,0,1,0,0
が悪いので,8.26361187417113e-08,5,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
も良いので,8.05561163147187e-08,4,0,0,0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
は良い,7.92920979123152e-08,4,1,0,0,0,7,2,2,1,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,7,1,0,0,1,0,0
が良くて,7.80974251518474e-08,2,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0
は良いです,7.76560946009474e-08,10,1,1,1,0,14,5,6,1,3,10,0,0,0,0,0,4,2,2,0,0,0,0,1,0,1,0,1,5,0,2,0,0,1,6,0,0,1,1,0,0,2,4,13,0,2,0,10,0,0
が良くない,7.67637013830686e-08,5,0,0,1,0,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
が良いのか,7.59730284597039e-08,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
が高い,7.59411407178789e-08,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,9,0,2,1,0,0,0,5
が感じます,7.46728504897485e-08,2,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
もいいですね,7.42809670433641e-08,2,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
もよい,7.34565812028848e-08,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
はいいと,7.33593350533243e-08,0,0,0,2,0,0,4,9,0,0,3,0,1,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,11,3,1,0,3,0,0
もいい,7.33322353915718e-08,0,0,0,0,0,3,2,5,0,0,1,2,0,1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,3,0,0
があります,7.26613709453474e-08,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3,1,2,0,1,0,0,0
を考えると,7.18627393975456e-08,0,0,0,1,0,0,8,3,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,12,0,0,0,0,0
は感じです,6.92626761243389e-08,2,0,0,1,1,3,0,3,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1,4,2,1,0,0,1,0,1
がいいと,6.91177569013467e-08,2,0,0,0,0,1,4,0,0,1,3,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
がよいです,6.89685437134404e-08,1,0,0,0,0,1,0,1,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のある,6.83638075199345e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,2,1,0,0,0,0,7,0,0,2,0,0,0,7,0,0,0
も高く,6.795866293527e-08,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5
は良いと,6.75999543692542e-08,8,1,0,1,0,4,8,10,1,12,5,0,0,0,0,0,5,0,0,1,2,0,0,0,0,2,0,1,0,1,11,0,0,0,1,0,0,1,0,1,0,0,4,19,3,1,0,2,0,0
にある,6.61684659147622e-08,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,5,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,6,0,0
にありません,6.4769162381552e-08,1,0,0,0,1,2,0,3,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,1,0,0,1,0,0
も良いですね,6.43416708535225e-08,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は悪いです,6.42975268631286e-08,6,0,0,0,0,1,1,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0
はいいですね,6.33718309174482e-08,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,1,0,0
も良好,6.3244646527652e-08,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
が高いので,6.26254794929253e-08,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
も悪くなく,6.23745886048289e-08,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
が悪いのと,6.2026140003609e-08,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,6.14004689130834e-08,2,0,0,1,0,1,9,2,0,1,6,0,0,1,0,2,2,0,0,2,0,0,1,1,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,13,1,1,0,2,0,0
があり,6.13499208468785e-08,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,1,4,5,0,1
もいいし,6.08469998764476e-08,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
