"",weight,が悪い,が良く,の良い,がよく,が悪く,が良い,が良いです,も良く,もよく,のよい,も良いです,がよい,がいいです,がいい,もいいです,が悪いと,は良好です,が良いので,が高い,も良好です,は良いです,が悪いです,がいいので,は良く,は良い,はいいと,は良いと,の高い,も良い,が良いと,が良くない,が良くて,の悪い,も良いので,が高いので,が悪いので,はいいですね,が高く,も高く,もいい,は感じです,が感じます,も良いと,にありません,があり,がいいと,のある,はいいです,はありません,があります,も悪くなく,は高い,は悪いです,もいいですね,も満足しています,がなります,がよいです,が高いです,もありません,が違います,は良いのですが,にある,といい,がイマイチ,は方だと,も良いし,にあります,にあり,も良いですね,もなく,がよいと,も気に入っています,が悪いのが,もあります,は落ちますが,は良いですが,を上げて,もよい,がなる,を考えると,がいいですね,も高い,はよいです,が低い,は思います,が良いのか,は最高です,はよいと,はよく,を上げる
weight,"",2.12033759529528e-05,1.96289213940793e-05,1.78585049556628e-05,1.58270246244375e-05,1.58001921711733e-05,1.54774498673185e-05,1.52701971339645e-05,1.52141005276436e-05,1.42456576662454e-05,1.38288162624978e-05,1.36846292051693e-05,1.28323851553228e-05,1.28259905832375e-05,1.1962867168188e-05,1.17943541931854e-05,1.17772197698652e-05,1.11118604813937e-05,1.11066256325778e-05,1.07560760709825e-05,1.07320363558046e-05,1.05572842800117e-05,1.04107154192908e-05,1.03383720750538e-05,1.02223871948572e-05,9.94521607414935e-06,9.94400453188511e-06,9.9382736486406e-06,9.68235392712128e-06,9.55707309476213e-06,9.55046891752977e-06,9.47541870557503e-06,9.00094603395121e-06,8.99837496491794e-06,8.96363148744847e-06,8.88013480231331e-06,8.8388717322544e-06,8.83159826216424e-06,8.50789060525296e-06,8.49795670772916e-06,8.45237182789365e-06,8.35277103869554e-06,8.2870825585715e-06,8.26002294402872e-06,8.10573427074585e-06,8.05395440147591e-06,7.99216322500198e-06,7.95716682960366e-06,7.91330178550277e-06,7.87545460634504e-06,7.86938211712918e-06,7.74160420599098e-06,7.62891950767367e-06,7.60639704123627e-06,7.49339239858259e-06,7.41577594584512e-06,7.37369484471768e-06,7.29183139768334e-06,7.27735848787971e-06,7.17774569745162e-06,7.16755247149296e-06,7.15991331677031e-06,7.07014559892418e-06,7.03685551342849e-06,6.90676004062607e-06,6.80735078472059e-06,6.72775133873708e-06,6.7050819025141e-06,6.60637899477919e-06,6.58787041292121e-06,6.5849970273308e-06,6.57960047572526e-06,6.52114466874871e-06,6.49818594714014e-06,6.48290771820359e-06,6.48052080995165e-06,6.44212811969049e-06,6.39530615688057e-06,6.36492935179999e-06,6.36244545358148e-06,6.35422773090505e-06,6.32219636770766e-06,6.32200378419289e-06,6.27797028276391e-06,6.2653621775481e-06,6.26321276341881e-06,6.22119926102433e-06,6.20889672399524e-06,6.20029821891583e-06,6.18561320116938e-06,6.18489741757556e-06
操作性,5.83378127980455e-07,6,8,4,3,0,4,4,12,5,0,9,2,3,1,3,0,6,2,3,3,6,2,2,2,2,9,10,0,8,2,1,0,1,1,0,0,1,1,0,5,3,0,6,3,1,0,0,4,11,0,1,0,3,0,2,0,1,0,1,0,4,1,1,1,0,1,1,2,0,2,1,0,0,0,0,2,0,0,0,3,1,0,4,0,11,0,1,0,1,0
写り,5.8329203946944e-07,2,4,7,0,0,4,1,4,1,1,0,0,1,5,0,1,1,1,0,0,4,0,2,2,3,2,5,0,2,2,0,2,0,0,0,0,4,0,1,3,1,0,2,2,0,1,0,7,6,0,1,0,0,0,1,0,0,0,8,4,1,2,0,0,1,1,0,4,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,4,2,0,0
色のり,5.81312593333522e-07,0,1,1,2,0,0,1,0,6,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,5.80525916112451e-07,0,0,13,1,0,7,2,0,0,3,0,2,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
携帯性,5.79719013414238e-07,3,2,11,0,2,6,5,12,6,0,2,3,1,1,1,2,3,1,1,0,3,1,5,4,3,0,12,0,1,1,0,1,0,1,1,2,0,0,1,0,2,0,2,1,0,1,0,10,11,0,1,0,5,1,0,0,0,0,1,0,5,0,1,0,0,1,0,1,0,1,1,0,0,0,3,0,0,0,0,3,0,0,3,0,12,0,1,2,0,0
評判,5.79163246412566e-07,0,0,14,1,0,1,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,2,1,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
デザイン,5.75153450065963e-07,0,3,1,1,0,7,2,7,1,0,2,1,0,1,3,0,1,2,0,0,2,0,0,0,2,6,11,0,2,1,0,0,0,0,0,0,0,0,0,2,5,0,4,0,0,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,4,0,1,0,11,0,2,3,1,0
視認性,5.65760895776473e-07,1,0,2,1,2,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
精度,5.25885667281346e-07,2,2,2,0,0,2,0,1,0,0,1,1,0,0,1,0,0,1,4,0,1,0,0,0,0,1,2,1,0,0,0,0,0,2,3,0,0,0,3,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
質,5.22110394423116e-07,2,1,4,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,5.21710696246536e-07,2,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
重量バランス,5.13033430625355e-07,1,3,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ホールド性,5.09382806431538e-07,2,4,0,1,1,1,2,0,0,0,0,0,0,1,0,0,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
感度,5.07989677752891e-07,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,2,1,0,0,0,0,6
描写,5.02727873151846e-07,0,1,2,0,0,0,0,6,0,0,3,0,1,1,1,0,0,2,0,1,5,0,1,3,1,0,0,0,1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,0,1,0,1,0
反応,4.75212695956166e-07,2,1,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
位置,4.74464366528577e-07,5,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,8,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,4.65091676711119e-07,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
感触,4.64496874054591e-07,0,1,0,0,0,2,2,0,1,0,1,1,0,1,3,0,0,0,0,0,6,1,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
解像度,4.59795608620185e-07,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,6,0,1,1,0,1,1,0,0,5,1,0,0,0,0,0,2,1,0,8,7,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,4,1,0,0,0,0,1
描写力,4.55526526466077e-07,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
画質,4.46677809411718e-07,12,6,2,1,0,24,6,14,11,1,5,1,6,9,9,4,2,5,0,2,13,4,1,7,7,11,19,0,10,13,1,2,2,0,0,2,2,0,0,4,2,0,6,3,1,1,0,11,18,1,3,0,3,1,11,0,0,0,6,2,4,3,3,1,2,2,3,1,0,5,0,3,0,0,5,1,0,0,1,2,1,0,2,1,28,1,7,1,2,1
音,4.40763328867968e-07,1,0,0,0,1,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
操作感,4.39500898007962e-07,0,0,0,0,0,1,0,0,2,0,0,1,0,2,1,0,2,0,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
性能,4.32500494080738e-07,0,0,5,0,0,2,0,3,0,0,0,4,0,2,0,0,0,1,2,0,0,0,1,0,1,3,3,1,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,12,1,0,0,3,4,0,0,0,1,0
コントラスト,4.26383680661348e-07,0,0,1,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,1,5,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
ボケ味,4.24075485038356e-07,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0
質感,4.16251153212534e-07,1,5,1,1,0,4,2,5,2,0,2,1,1,4,5,0,1,0,9,2,4,0,0,0,0,2,4,5,6,1,0,1,0,0,0,0,1,6,4,0,4,1,3,0,4,0,2,5,2,3,1,2,0,0,1,1,0,2,0,1,1,1,4,0,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,0,2,0,1,1,2,0,4,0,0,0
コストパフォーマンス,4.15792626446187e-07,0,1,5,0,0,5,0,1,1,0,0,3,0,1,0,0,0,0,14,0,4,0,1,0,0,1,8,36,0,2,0,0,0,0,2,0,3,4,4,1,0,0,2,0,0,0,0,1,0,0,0,2,0,3,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,10,0,3,0,0,2,0,9,2,0,0
AF精度,4.11978484823759e-07,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
シャッター音,4.06813308266163e-07,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
画像,4.06653992091264e-07,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
ヌケ,4.06173292558619e-07,0,2,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,4.02216600881502e-07,0,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,3.99241472398842e-07,0,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0
解像感,3.73525938802056e-07,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,8,0,6,0,0,4,0,1,0,0,0,0,0,2,0,0,1,0,3,0,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
条件,3.72427924549213e-07,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,3.7064328879544e-07,0,0,0,0,0,4,1,0,0,0,1,0,2,1,2,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,5,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
色合い,3.61698307366575e-07,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1
液晶,3.59194634631366e-07,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,2,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,0
カメラ,3.56274253909817e-07,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,3,1,0,1,0,0
ボケ,3.47998126645419e-07,0,0,0,0,0,1,1,4,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
補正,3.4782449190099e-07,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,7,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0
天気,3.42756058777991e-07,0,0,15,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,3.38809235395869e-07,0,3,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用頻度,3.33594347742061e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
ホールド,3.24566056765664e-07,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,3.23601035018164e-07,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
