"",weight,が悪い,が良く,の良い,が悪く,がよく,のよい,が良いです,も良いです,が良い,もよく,が悪いと,も良く,がいいです,がよい,が高い,が悪いです,は良好です,の悪い,もいいです,も良好です,がいい,は良いです,の高い,が悪いので,はいいと,が高いので,は良い,がいいので,はいいですね,は良く,が良いので,が良くて,があります,が良くない,が感じます,は高い,も高く,がなります,も良いので,は良いと,がいいと,が良いと,が高く,は高いです,は感じです,を上げて,もいいですね,にありません,があり,が高いです,がよいです,がイマイチ,を考えると,も良い,になります,が悪いのが,も悪くなく,にあります,もよい,も良いですね,は方だと,が良いのか,のある,がなる,もいい,はいいです,もありません,はありません,にある,がよいと
weight,"",2.69339817965883e-05,2.68473841190697e-05,2.46592851368638e-05,2.29991811344667e-05,2.16205651041437e-05,2.04910640281722e-05,1.9521705880774e-05,1.77483826633418e-05,1.74205821730096e-05,1.70283930276387e-05,1.69182109224578e-05,1.63477407899553e-05,1.62246669981428e-05,1.58969811234747e-05,1.52521830101503e-05,1.51124968700936e-05,1.49509948648677e-05,1.4907524960135e-05,1.48327665978431e-05,1.47969223476597e-05,1.3868196164061e-05,1.38631552013562e-05,1.35827663089291e-05,1.34682856916075e-05,1.34451406084078e-05,1.33738013739751e-05,1.33157895174988e-05,1.32838863846607e-05,1.3205025742216e-05,1.31855394971455e-05,1.31818216067746e-05,1.31062299194434e-05,1.2908387677664e-05,1.28116126377046e-05,1.24897981334034e-05,1.24800932931558e-05,1.24149724334527e-05,1.22583414117203e-05,1.1987192898372e-05,1.18103233234515e-05,1.1787659335502e-05,1.17561090643531e-05,1.14870421361295e-05,1.14862718539143e-05,1.1403572840796e-05,1.12684344555768e-05,1.12406890550224e-05,1.12110076162922e-05,1.10725062407893e-05,1.10420406625887e-05,1.08974943511811e-05,1.08903179427257e-05,1.07694613974252e-05,1.05432168772638e-05,1.0520636174517e-05,1.04672527195586e-05,1.03077715303297e-05,1.02528271675901e-05,1.01720085610565e-05,1.01614387594347e-05,1.01333568457169e-05,1.00737735097509e-05,1.00556256959376e-05,9.9817818264166e-06,9.96385697305414e-06,9.91525967368469e-06,9.85898946966452e-06,9.83749573059754e-06,9.83556576127283e-06,9.79137806461193e-06
写り,8.67056601145725e-07,2,4,7,0,0,1,1,0,4,1,1,4,1,0,0,0,1,0,0,0,5,4,0,0,2,0,3,2,4,2,1,2,0,0,0,0,1,0,0,5,1,2,0,0,1,0,0,2,0,0,0,0,0,2,3,0,1,0,1,0,1,0,0,0,3,7,8,6,2,2
感度,8.6649173177825e-07,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,13,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
相性,8.64149783162403e-07,0,1,1,0,0,0,2,3,2,0,0,3,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
気持ち,8.50187594566972e-07,0,0,13,0,1,3,2,0,7,0,0,0,9,2,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
重量バランス,8.30090963462268e-07,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ホールド性,8.19399490115332e-07,2,4,0,1,1,0,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
質,7.96322812062567e-07,2,1,4,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,7.95530682773662e-07,2,2,2,0,0,0,0,1,2,0,0,1,0,1,4,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,1,0,1,0,0,2,3,0,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
位置,7.75274167582773e-07,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0
デザイン,7.61223907914849e-07,0,3,1,0,1,0,2,2,7,1,0,7,0,1,0,0,1,0,3,0,1,2,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,11,1,1,0,0,5,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,2,3,1,0,0,0
反応,7.58085264932087e-07,2,1,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色,7.53639029453938e-07,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
音,7.18848785854931e-07,1,0,0,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
解像度,7.09230882384899e-07,1,0,0,0,0,0,0,0,1,1,2,1,0,0,6,1,0,0,0,0,0,1,5,1,0,2,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,8,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0
画質,7.0255901487883e-07,12,6,2,0,1,1,6,5,24,11,4,14,6,1,0,4,2,2,9,2,9,13,0,2,11,0,7,1,2,7,5,2,1,1,0,0,0,0,0,19,1,13,0,0,2,0,1,3,1,0,0,1,2,10,5,0,3,3,0,0,2,1,0,1,4,11,6,18,3,0
描写,7.01679496366449e-07,0,1,2,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,1,1,1,5,0,0,0,0,1,1,0,3,2,2,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,7,0,0,0,1,0,0,0,0,1,1,0,0,4,5,0
出来,6.76877049812096e-07,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
ヌケ,6.66732571162173e-07,0,2,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,6.59040765275809e-07,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,2,3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,2,3,0
コストパフォーマンス,6.50256856842859e-07,0,1,5,0,0,0,0,0,5,1,0,1,0,3,14,0,0,0,0,0,1,4,36,0,1,2,0,1,3,0,0,0,0,0,0,2,4,0,0,8,0,2,4,4,0,0,3,0,0,4,0,0,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2
ボケ味,6.40932014954895e-07,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3,1,0,0
見た目,6.36920903663801e-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
AF精度,6.34098432847441e-07,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
質感,6.32922599015193e-07,1,5,1,0,1,0,2,2,4,2,0,5,1,1,9,0,1,0,5,2,4,4,5,0,2,0,0,0,1,0,0,1,3,0,1,2,4,1,0,4,0,1,6,2,4,0,0,0,4,2,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,5,0,2,1,0
性能,6.31213771504562e-07,0,0,5,0,0,0,0,0,2,0,0,3,0,4,2,0,0,0,0,0,2,0,1,0,3,0,1,1,0,0,1,2,2,0,1,0,0,1,0,3,0,1,1,1,1,4,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
操作感,6.30450413611809e-07,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,1,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
感触,6.28897692730412e-07,0,1,0,0,0,0,2,1,2,1,0,0,0,1,0,1,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
コントラスト,6.25414584531116e-07,0,0,1,0,1,0,0,0,1,0,0,1,3,0,5,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,6.05655737359138e-07,2,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,5.97374926705259e-07,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
天気,5.71191474560947e-07,0,0,15,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,5.63146589303438e-07,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0
使用頻度,5.56996812320139e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
配置,5.43804768318198e-07,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
カメラ,5.21552466177643e-07,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,3,1,6,0,0
切れ,5.20580314650194e-07,0,3,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0
解像感,5.13973916359892e-07,1,0,0,1,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0
補正,5.07411504516342e-07,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,1,2,1,0,0
シャッター音,4.93255443216405e-07,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
液晶,4.92218261712744e-07,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,2,0
音質,4.73104823784263e-07,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
満足度,4.72129792440091e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,45,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,68,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
グリップ感,4.71825552807517e-07,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
電池持ち,4.67282170726662e-07,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
レンズ,4.62332861107816e-07,1,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,10,0,0,3,0,1,0,1,1,0,1,0,0,1,1,0,2,0,2,1,2,0,1,1,0,0,1,5,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,3,4,1,8,6,1
満足感,4.61426755665272e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,4.60251908951096e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,37,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ボケ,4.59397924131259e-07,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
重さ,4.58530038826914e-07,0,0,0,0,0,0,0,0,3,0,0,2,1,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,3,0,0,0,0,0,0,0,0,1,4,0,2,0,1,1,0
評価,4.55317780214461e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
バッテリー,4.53569486779249e-07,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9,0,0
フィーリング,4.44154440186805e-07,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
・画質,4.38349597237699e-07,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色合い,4.36636644159983e-07,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ボケ具合,4.18292334754505e-07,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,4.17782411372175e-07,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0
AF,4.04317457684028e-07,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,1,0
気分,4.01784886997304e-07,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キレ,3.97254631652179e-07,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
機動性,3.95467144343283e-07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ホールド,3.91890188892973e-07,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
機能性,3.90959422704819e-07,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
