"",weight,が良く,の良い,がよく,が悪い,が良いです,のよい,もよく,も良いです,も良く,が悪く,が良い,がいいです,がよい,が悪いと,がいい,も良好です,が良いので,もいいです,は良好です,は良く,がいいので,は良い,が悪いです,は良いです,はいいと,が良いと,も良い,が良くて,もいい,が高い,も高く,も良いので,のある,は良いと,はいいですね,の悪い,の高い,が良くない,が悪いので,が高いので,が感じます,がいいと,は感じです,はありません,があります,が高く,も良いと,はいいです,も悪くなく,もいいですね,は悪いです,があり,が高いです,がよいです,を考えると,も満足しています,といい,にありません,も気に入っています,が良いのか,が違います,もありません,は高い,もよい,も良いですね,は良いのですが,がイマイチ,も良いし,もいいし,もあります,は落ちますが,にある,がいいですね,になります,もある,は最高です,がよいと,もあり,は方だと,も良好
weight,"",7.15521897653121e-08,6.69923420791745e-08,6.39994318299306e-08,6.23780841614413e-08,5.95021987288271e-08,5.81792624222614e-08,5.75742194107725e-08,5.66655349826862e-08,5.66116885307454e-08,5.48297593084022e-08,5.34212249404945e-08,5.05718971296187e-08,4.86804130847906e-08,4.50522847553398e-08,4.49650033524703e-08,4.49339400874242e-08,4.41362957698817e-08,4.29220510107209e-08,4.284121693857e-08,4.09326930268527e-08,3.95662920868699e-08,3.85252639188628e-08,3.81308479019056e-08,3.80082447698078e-08,3.66828015603377e-08,3.55344568640154e-08,3.54170765264442e-08,3.53764791228808e-08,3.48952482111892e-08,3.48711472532811e-08,3.48559559163489e-08,3.47960651813562e-08,3.47423318352214e-08,3.47279482427717e-08,3.46594820315021e-08,3.46222683874738e-08,3.39686458460893e-08,3.30709315028971e-08,3.30579407610641e-08,3.23753448993105e-08,3.222539413915e-08,3.19285036366227e-08,3.13138080212082e-08,3.13082023813878e-08,3.08519625085812e-08,3.08482991853842e-08,3.04603530098786e-08,3.02317092708957e-08,3.01053516427241e-08,3.00261604971969e-08,2.99923786212421e-08,2.94036106363787e-08,2.93809167601587e-08,2.89587608308468e-08,2.8574248185953e-08,2.85599361709924e-08,2.84092876029559e-08,2.77896231253281e-08,2.73529378695306e-08,2.7274845547463e-08,2.72381002338814e-08,2.70768691541377e-08,2.69206161032166e-08,2.689460827413e-08,2.68850269639756e-08,2.67496115100729e-08,2.62889675878396e-08,2.59665934023495e-08,2.58626882186638e-08,2.57837724039395e-08,2.57585221239158e-08,2.57289105640232e-08,2.55959332858552e-08,2.55060328300116e-08,2.50391710116413e-08,2.50165019535114e-08,2.49960534918519e-08,2.48948582771583e-08,2.47810367499912e-08,2.43661122334953e-08
もち,2.83832636233e-09,0,0,0,7,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,2,1,2,1,0,1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0
相性,2.79380325730888e-09,1,1,0,0,2,0,0,3,3,0,2,0,1,0,0,0,1,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
デザイン,2.77045273477272e-09,3,1,1,0,2,0,1,2,7,0,7,0,1,0,1,0,2,3,1,0,0,2,0,2,6,1,2,0,2,0,0,0,1,11,0,0,0,0,0,0,0,1,5,0,0,0,4,3,1,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,2,0,2,3,0,0,0,4,1,0,2,0,0,1,0
気持ち,2.75421191784228e-09,0,13,1,0,2,3,0,0,0,0,7,9,2,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
視認性,2.73943251994197e-09,0,2,1,1,0,0,0,0,2,2,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
写り,2.68365482647215e-09,4,7,0,2,1,1,1,0,4,0,4,1,0,1,5,0,1,0,1,2,2,3,0,4,2,2,2,2,3,0,1,0,0,5,4,0,0,0,0,0,0,1,1,6,0,0,2,7,1,0,0,0,0,0,0,1,0,2,0,0,4,8,0,1,0,1,0,1,0,1,0,2,0,3,0,4,2,0,1,0
感度,2.55285727288566e-09,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重量バランス,2.5034381627589e-09,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,2.49666318377694e-09,4,0,1,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
画質,2.46635731889673e-09,6,2,1,12,6,1,11,5,14,0,24,6,1,4,9,2,5,9,2,7,1,7,4,13,11,13,10,2,4,0,0,0,0,19,2,2,0,1,2,0,0,1,2,18,1,0,6,11,3,1,3,1,0,0,2,11,3,3,3,1,2,6,0,0,0,4,1,2,2,0,5,3,1,5,0,7,0,1,2,1
色,2.46579260116221e-09,0,0,0,2,0,0,0,0,1,1,1,1,0,0,2,0,1,0,1,0,1,2,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,5,0,0,0,0,0,0
描写,2.45065965735039e-09,1,2,0,0,0,0,0,3,6,0,0,1,0,0,1,1,2,1,0,3,1,1,0,5,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,7,3,1,0,0,0,0
質,2.42441425637852e-09,1,4,0,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
精度,2.37062675604168e-09,2,2,0,2,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,4,3,2,0,2,0,0,1,0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
見た目,2.2469177633948e-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
描写力,2.24206463905144e-09,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,4,1,3,0,0,0,0,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1
反応,2.23447161420276e-09,1,2,1,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,2.23315474742153e-09,1,0,0,0,2,0,1,1,0,0,2,0,1,0,1,0,0,3,0,0,0,0,1,6,0,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
音,2.22829002480184e-09,0,0,0,1,0,0,0,0,1,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
操作感,2.1448406798421e-09,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,1,0,1,2,1,0,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
解像度,2.13226239010662e-09,0,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,6,7,0,2,0,0,0,5,0,1,2,0,0,0,2,0,8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
ボケ味,2.10539575147773e-09,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
シャッター音,2.08404758868376e-09,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
性能,2.08020761025705e-09,0,5,0,0,0,0,0,0,3,0,2,0,4,0,2,0,1,0,0,0,1,1,0,0,3,1,0,2,0,2,0,0,0,3,0,0,1,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
取り回し,2.04185736176119e-09,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
質感,2.02276465045209e-09,5,1,1,1,2,0,2,2,5,0,4,1,1,0,4,2,0,5,1,0,0,0,0,4,2,1,6,1,0,9,4,0,2,4,1,0,5,0,0,0,1,0,4,2,3,6,3,5,1,0,0,4,2,0,0,1,4,0,2,0,1,0,2,0,0,1,0,0,0,2,1,1,2,0,0,4,0,3,0,0
位置,2.01240752250979e-09,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
ヌケ,1.97713269453614e-09,2,5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,1.96255102899992e-09,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,1.91219343486287e-09,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,1.88643261875845e-09,1,5,0,0,0,0,1,0,1,0,5,0,3,0,1,0,0,0,0,0,1,0,0,4,1,2,0,0,1,14,4,0,0,8,3,0,36,0,0,2,0,0,0,0,0,4,2,1,0,3,0,0,4,0,10,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0
コントラスト,1.87704321930165e-09,0,1,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,11,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
配置,1.82365831201105e-09,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
補正,1.78719088042918e-09,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
画像,1.73904306358978e-09,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0
色合い,1.71436465097818e-09,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
切れ,1.70589832230427e-09,3,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
液晶,1.70218987201741e-09,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,0
条件,1.68865281843965e-09,0,2,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ,1.66167970105945e-09,0,0,0,0,1,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
天気,1.64954908844168e-09,0,15,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,1.64518021594964e-09,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,1,0,0,1,0,0,0,0,0,1,0,4,2,1,0,0,0,0,8,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,1,0
音質,1.61454295881898e-09,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
レンズ,1.61216349806815e-09,1,5,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,10,3,2,1,1,3,0,0,0,0,2,1,2,0,0,0,0,1,1,1,8,0,0,0,4,0,0,0,5,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,2,3,1,0,1,0,0,0
電池持ち,1.57444273816739e-09,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,1.56161755161045e-09,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー,1.54780240093535e-09,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,4,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カメラ,1.53135948533751e-09,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0
重さ,1.51900227074431e-09,0,0,0,0,0,0,0,0,2,0,3,1,1,0,2,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0
フィーリング,1.49447411183003e-09,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ具合,1.48204187351963e-09,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,1.47979570667537e-09,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
グリップ感,1.45554363951367e-09,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,1.43153720311986e-09,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
