"",weight,が良く,の良い,が悪い,がよく,も良く,が良いです,もよく,のよい,が良い,も良いです,が悪く,がいいです,がよい,がいい,が良いので,もいいです,も良好です,が悪いと,は良好です,は良く,は良いです,がいいので,は良い,が良いと,が悪いです,も良い,が良くて,もいい,は良いと,も良いので,が高い,の高い,のある,はいいと,はいいですね,も高く,の悪い,はありません,が感じます,が良くない,も良いと,が高いので,が悪いので,が高く,がいいと,は感じです,があり,はいいです,があります,は悪いです,も悪くなく,が高いです,にありません,も満足しています,といい,もいいですね,もありません,が違います,は良いのですが,も気に入っています,がよいです,が良いのか,は高い,がイマイチ,は最高です,にある,もよい,もあり,も良いですね,がいいですね,もあります,も良いし,もある,はよく,は落ちますが,もいいし,も高い,がよいと,は方だと,はよいです,が低い,がある,を考えると,はよいと,は抜群です,に満足しています,もなく,がなります,も良好,もあって
weight,"",4.28286385726729e-08,4.19390969058523e-08,3.81502277525091e-08,3.76094445649299e-08,3.57791864625408e-08,3.524115464237e-08,3.43481115658446e-08,3.34108591017082e-08,3.31292716874051e-08,3.31171629524223e-08,3.16500230799166e-08,2.95707606195635e-08,2.9361790835299e-08,2.79881519247111e-08,2.70337780812941e-08,2.62381063037299e-08,2.60599530697787e-08,2.60329235741739e-08,2.46851798486563e-08,2.44233849584426e-08,2.40369790189326e-08,2.38538015502689e-08,2.26324236802047e-08,2.23512407909248e-08,2.2214104302414e-08,2.20334442514056e-08,2.18399443346071e-08,2.17394306375968e-08,2.16834214749934e-08,2.16462877070946e-08,2.12188627179463e-08,2.11667951739209e-08,2.10550115163368e-08,2.09406203034869e-08,2.0764974883243e-08,2.04046971403849e-08,1.98026919828081e-08,1.97282400536869e-08,1.95033170911949e-08,1.94673426199621e-08,1.9250801478837e-08,1.91712693552191e-08,1.89899828761714e-08,1.89710831558229e-08,1.88118067007434e-08,1.85591499400941e-08,1.81420740642718e-08,1.80858737829845e-08,1.79290611423736e-08,1.78690132712033e-08,1.76941315973294e-08,1.74052960287051e-08,1.73676009317786e-08,1.73560446750364e-08,1.73098373455796e-08,1.70412245234391e-08,1.67218367584378e-08,1.64618017820997e-08,1.6346829557278e-08,1.62392343722685e-08,1.6228208555615e-08,1.60993045412401e-08,1.58842957292773e-08,1.58667915099522e-08,1.58016608541415e-08,1.54931144550423e-08,1.54881870069116e-08,1.54434365681003e-08,1.53401244126896e-08,1.52099491345527e-08,1.50898375343568e-08,1.50856764743585e-08,1.50595244374134e-08,1.48978226526151e-08,1.48680430176307e-08,1.48269599758684e-08,1.48185034749706e-08,1.47659745775899e-08,1.45726872632637e-08,1.43998359168631e-08,1.43170053949849e-08,1.41959264299179e-08,1.4131527026902e-08,1.39527919003507e-08,1.39504459858612e-08,1.3933707064685e-08,1.39061153231837e-08,1.38938989720427e-08,1.38810892400717e-08,1.38532000685952e-08
写り,1.36551029887856e-09,4,7,2,0,4,1,1,1,4,0,0,1,0,5,1,0,0,1,1,2,4,2,3,2,0,2,2,3,5,0,0,0,0,2,4,1,0,6,0,0,2,0,0,0,1,1,0,7,0,0,1,0,2,1,0,0,8,4,1,0,0,0,0,0,4,2,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,0,0
携帯性,1.33489430424573e-09,2,11,3,0,12,5,6,0,6,2,2,1,3,1,1,1,0,2,3,4,3,5,3,1,1,1,1,0,12,1,1,0,0,0,0,1,0,11,0,0,2,1,2,0,1,2,0,10,0,5,1,0,1,0,1,1,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,0,1,0,3,0,0,3,2,17,0,1,0,0,0
色のり,1.30770742875683e-09,1,1,0,2,0,1,6,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
相性,1.30323223103004e-09,1,1,0,0,3,2,0,0,2,3,0,0,1,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
評判,1.29145075533412e-09,0,14,0,1,0,0,0,3,1,0,0,0,0,3,6,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,1.28556039320376e-09,0,0,7,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,2,0,1,0,1,0,0,0,0,2,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0
気持ち,1.27064151166756e-09,0,13,0,1,0,2,0,3,7,0,0,9,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画質,1.22378536364173e-09,6,2,12,1,14,6,11,1,24,5,0,6,1,9,5,9,2,4,2,7,13,1,7,13,4,10,2,4,19,0,0,0,0,11,2,0,2,18,0,1,6,0,2,0,1,2,1,11,1,3,3,0,3,11,3,1,6,2,4,3,0,1,0,1,7,3,0,1,0,1,0,2,0,2,5,2,0,0,2,2,1,0,2,1,1,4,5,0,1,0
描写,1.2207030453477e-09,1,2,0,0,6,0,0,0,0,3,0,1,0,1,2,1,1,0,0,3,5,1,1,4,0,1,2,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
視認性,1.21195526151038e-09,0,2,1,1,2,0,0,0,2,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,1.16934819407491e-09,0,0,2,0,1,0,0,0,1,0,1,1,0,2,1,0,0,0,1,0,0,1,2,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
感度,1.14351686075782e-09,2,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ホールド性,1.11463781529726e-09,4,0,2,1,0,2,0,0,1,0,1,0,0,1,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
精度,1.10204186947568e-09,2,2,2,0,1,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,4,1,0,1,0,3,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
重量バランス,1.0972352927027e-09,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
質,1.08187011605399e-09,1,4,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,1.05021063661049e-09,1,0,0,0,0,2,1,0,2,1,0,0,1,1,0,3,0,0,0,0,6,0,0,1,1,2,1,0,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
見た目,1.03629028123396e-09,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
描写力,9.99618297316341e-10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,0,0,0,0,0,1,0,1,0,4,0,3,0,0,2,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,0,0,1,0
反応,9.86229264223794e-10,1,2,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作感,9.62720532396549e-10,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,1,1,0,2,1,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,9.59531376772649e-10,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,0,0,0,6,5,2,0,0,7,0,2,0,0,0,2,1,8,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,4,3,0,0,0,0,0,0,1,0
コストパフォーマンス,9.56102744778968e-10,1,5,0,0,1,0,1,0,5,0,0,0,3,1,0,0,0,0,0,0,4,1,0,2,0,0,0,1,8,0,14,36,0,1,3,4,0,0,0,0,2,2,0,4,0,0,0,1,0,0,0,4,0,0,1,3,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,10,2,2,0,0,0,0,0
音,9.52140496875789e-10,0,0,1,0,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0
ボケ味,9.44315144233544e-10,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
性能,9.39211265301686e-10,0,5,0,0,3,0,0,0,2,0,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,2,0,3,0,2,1,0,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3,1,12,0,0,2,0,1,0,0
シャッター音,9.18563647538069e-10,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,8.94605025750712e-10,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
取り回し,8.94129514752992e-10,0,0,0,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,8.80148027292619e-10,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,8.6740299437004e-10,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,8.66414757500763e-10,0,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,5,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
質感,8.6508442615971e-10,5,1,1,1,5,2,2,0,4,2,0,1,1,4,0,5,2,0,1,0,4,0,0,1,0,6,1,0,4,0,9,5,2,2,1,4,0,2,1,0,3,0,0,6,0,4,4,5,3,0,1,2,0,1,4,0,0,1,1,2,0,0,2,0,4,1,0,3,0,2,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0
AF精度,8.61172884923065e-10,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,8.5321162416234e-10,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
色合い,8.08863518793749e-10,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
液晶,8.05316054411479e-10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,1,2,0,1,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
配置,7.89069283233535e-10,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ボケ,7.82301031588829e-10,0,0,0,0,4,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
切れ,7.67942574217542e-10,3,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,7.65089110907507e-10,0,0,0,0,0,1,0,0,4,1,0,2,0,1,0,2,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,0,4,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3
カメラ,7.63680050041788e-10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,6,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0
レンズ,7.5066614920521e-10,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,10,0,1,2,0,1,1,3,2,0,0,0,0,3,1,0,2,8,1,0,0,0,0,0,1,1,5,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,1,1,0,0,0,1,0,2,0,5,0,0,0,1,1,2,0,0
条件,7.46009393954164e-10,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,7.43099483528471e-10,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,6,0,0,0,0,0,0,0,1,0,0,2,0,1,8,0,4,0,0,2,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,1,0,0,2,0,0,0,1,1,0,0,1
補正,7.37953224646897e-10,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,7,0,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,1
天気,7.33918126824443e-10,0,15,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,7.13408011639501e-10,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
