"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,が良いと,がいいので,は良い,もいい,も良いので,も良い,が良くて,のある,が悪いです,は良いと,はいいですね,はいいと,が高い,の悪い,も高く,も良いと,はありません,が感じます,の高い,が良くない,が高いので,がいいと,はいいです,があります,が悪いので,が高く,も悪くなく,があり,といい,は感じです,も満足しています,は悪いです,にありません,も気に入っています,もいいですね,が良いのか,もありません,が違います,は良いのですが,が高いです,がよいです,は最高です,もある,もよい,にある,を考えると,がイマイチ,もあり,も良好,がいいですね,も良いですね,もいいし,はよく,も高い,もあります,も良いし,がなります,はいい,がよいと,は落ちますが,は高い,は思います,に満足しています,を考えて,は満足しています,はよいです,もなく,もあって,も含めて
weight,"",2.06623988939705e-13,1.96421104815183e-13,1.80047186632388e-13,1.6778473143429e-13,1.66228024497141e-13,1.62549717967487e-13,1.59992763556406e-13,1.57807079371592e-13,1.55323206481549e-13,1.4938765539023e-13,1.401373409255e-13,1.35828218835016e-13,1.33844448279066e-13,1.30665446575558e-13,1.26681177901772e-13,1.21967447817705e-13,1.20414302548042e-13,1.16909687478875e-13,1.13560684072962e-13,1.13289344351821e-13,1.12240731327301e-13,1.0761801477644e-13,1.0760408776036e-13,1.04506306355654e-13,1.04318353893232e-13,1.02706385897079e-13,1.02057765704515e-13,1.01367947597436e-13,9.89840214213506e-14,9.82761972991235e-14,9.72689085921247e-14,9.55782039473828e-14,9.49003293058283e-14,9.3562216700025e-14,9.11224422222977e-14,9.07222709973306e-14,9.04302064333638e-14,9.03567273256603e-14,9.01258707979882e-14,8.91462407175354e-14,8.60387872782806e-14,8.55721667010679e-14,8.51260239314985e-14,8.50946394979171e-14,8.44000009784287e-14,8.30671266182857e-14,8.29296998732667e-14,8.27813119255198e-14,8.26087683273795e-14,8.22802091182457e-14,8.18806356043972e-14,8.18278776642281e-14,8.13095591330569e-14,7.89366721259008e-14,7.83473401699565e-14,7.7787426543626e-14,7.68441765186972e-14,7.66366450882137e-14,7.65755793607794e-14,7.5055976264837e-14,7.43849945826727e-14,7.37086625985753e-14,7.36906679680855e-14,7.35798990288806e-14,7.31717079511265e-14,7.28631788361355e-14,7.28585812074712e-14,7.21586129854309e-14,7.13553543710705e-14,7.12994691069609e-14,7.11254621553353e-14,7.08384468697299e-14,7.07783448127273e-14,6.94243898956384e-14,6.9083913731743e-14,6.84356410704081e-14,6.81993048176503e-14,6.69817798725498e-14,6.66701682683815e-14,6.66425005028557e-14,6.64048640827063e-14,6.62321026944738e-14,6.60963274901288e-14,6.58494927511872e-14,6.578122631922e-14,6.51350582652576e-14,6.50201176925956e-14,6.48384756869455e-14,6.469054052932e-14,6.43803186037455e-14
評判,6.0146833130748e-15,0,14,1,0,0,0,0,3,0,1,0,0,0,3,6,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
操作性,5.90726613365065e-15,8,4,3,6,12,4,5,0,9,4,0,3,2,1,2,3,3,0,6,2,6,2,2,2,5,1,8,0,0,2,10,1,9,3,1,0,6,11,0,0,1,0,0,4,0,0,1,1,1,1,3,2,3,3,0,0,0,1,0,4,0,1,1,0,0,1,3,1,0,2,1,0,0,1,0,0,1,0,2,1,0,0,11,1,2,1,4,2,0,1
携帯性,5.90020430334703e-15,2,11,0,3,12,5,6,0,2,6,2,1,3,1,1,0,1,2,3,4,3,1,5,3,0,1,1,1,0,1,12,0,0,1,0,1,2,11,0,0,0,1,1,10,0,2,0,1,0,1,2,0,5,1,0,1,0,1,0,5,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,1,3,0,12,0,2,2,3,1,0,0
気持ち,5.89387762958918e-15,0,13,1,0,0,2,0,3,0,7,0,9,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
写り,5.84083925882439e-15,4,7,0,2,4,1,1,1,0,4,0,1,0,5,1,0,0,1,1,2,4,2,2,3,3,0,2,2,0,0,5,4,2,0,0,1,2,6,0,0,0,0,1,7,0,0,0,1,0,0,1,1,0,2,0,0,0,8,4,1,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,4,2,0,3,0,0,0,0
もち,5.6664358373374e-15,0,0,0,7,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,2,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
デザイン,5.54143870650619e-15,3,1,1,0,7,2,1,0,2,7,0,0,1,1,2,0,3,0,1,0,2,1,0,2,2,0,2,0,1,0,11,0,6,0,0,0,4,0,0,0,0,0,1,3,0,0,0,1,0,1,5,1,0,0,3,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,4,0,3,1,0,0,2,0,0,0,0,0,11,0,0,2,1,0,1,2
描写,5.41203613460117e-15,1,2,0,0,6,0,0,0,3,0,0,1,0,1,2,1,1,0,0,3,5,4,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,2,0,1,0,2
視認性,5.38793404426391e-15,0,2,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
色,5.27312424054549e-15,0,0,0,2,1,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,0,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
重量バランス,5.17481043290138e-15,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,5.03424982282398e-15,4,0,1,2,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
感度,5.02168247409904e-15,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
精度,4.95284238913088e-15,2,2,0,2,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,4,0,3,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
質,4.95012546813958e-15,1,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
見た目,4.93673969343502e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
感触,4.90219023181659e-15,1,0,0,0,0,2,1,0,1,2,0,0,1,1,0,0,3,0,0,0,6,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,4.80177494541135e-15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,1,0,0,0,0,4,0,1,3,0,1,0,0,0,2,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
反応,4.60450575077672e-15,1,2,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
画質,4.56376646220791e-15,6,2,1,12,14,6,11,1,5,24,0,6,1,9,5,2,9,4,2,7,13,13,1,7,4,0,10,2,0,4,19,2,11,0,2,0,6,18,0,0,1,0,1,11,1,2,0,3,1,3,2,11,3,3,3,1,1,6,2,4,0,0,7,0,0,3,2,1,1,1,1,0,2,2,0,0,2,0,3,0,5,0,28,4,0,8,2,5,0,1
操作感,4.50562474086773e-15,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,1,1,0,2,1,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
シャッター音,4.4235240930847e-15,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
音,4.38161338822758e-15,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
性能,4.3418465651529e-15,0,5,0,0,3,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,3,0,3,2,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,2,2,0,0,0,0,0
解像度,4.31272539691532e-15,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,6,0,7,0,2,0,5,0,2,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ボケ味,4.30937352486892e-15,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
取り回し,4.29870239947902e-15,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ヌケ,4.11391305122515e-15,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,4.04837366753876e-15,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
出来,3.96419466046288e-15,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
質感,3.93656684150849e-15,5,1,1,1,5,2,2,0,2,4,0,1,1,4,0,2,5,0,1,0,4,1,0,0,0,0,6,1,2,0,4,1,2,9,0,4,3,2,1,5,0,0,0,5,3,0,6,1,4,4,4,1,0,0,2,0,0,0,1,1,2,0,4,0,0,1,0,0,3,0,2,0,0,0,0,2,0,1,0,0,1,2,2,1,0,0,1,1,0,3
コストパフォーマンス,3.93195367061293e-15,1,5,0,0,1,0,1,0,0,5,0,0,3,1,0,0,0,0,0,0,4,2,1,0,1,0,0,0,0,0,8,3,1,14,0,4,2,0,0,36,0,2,0,1,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,2,0,1,0,0,0,0,2
画像,3.80240012616658e-15,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
AF精度,3.78499285340261e-15,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
コントラスト,3.76101514705661e-15,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,11,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
色合い,3.75855732427768e-15,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,2
配置,3.73968547121467e-15,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
感じ,3.724948503447e-15,0,0,0,0,0,1,0,0,1,4,0,2,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3,0
ボケ,3.69248453205386e-15,0,0,0,0,4,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
切れ,3.63421613372071e-15,3,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
補正,3.55302834051564e-15,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0
カメラ,3.48572701441398e-15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,6,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,3,1,0,0,0,0,0,0
解像感,3.47577796140286e-15,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,4,0,2,0,8,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0
レンズ,3.43848204061959e-15,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,2,0,1,3,0,1,1,0,0,2,1,3,0,2,0,0,8,1,0,0,0,1,4,0,0,0,0,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,1,6,1,0,1,2,1,0,2
天気,3.39378331326475e-15,0,15,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,3.375347892411e-15,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,3.33250545812057e-15,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,3.31030013352496e-15,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
