"",weight,色のり,色乗り,評判,レスポンス,発色,重量バランス,気持ち,持ち,出来,ホールド感,写り,相性,位置,視認性,質,ホールド性,描写,バランス,反応,音,ヌケ,携帯性,感度,見た目,取り回し,配置,色,操作性,操作感,使い勝手,天気,精度,ボケ味,描写力,レンズ,もち,感触,デザイン,カメラ,感じ
weight,"",2.84733648184083e-13,2.84628284387227e-13,2.60966618854553e-13,2.55718674045126e-13,2.4317091409228e-13,2.35979888083057e-13,2.34013723615749e-13,2.32633865282282e-13,2.21233622693127e-13,2.10617695099161e-13,2.10532821428523e-13,2.09259965000064e-13,2.08478721839589e-13,2.07090897820322e-13,2.0619313208451e-13,2.06055842896675e-13,2.02310425825676e-13,2.01368348618303e-13,2.00331639636299e-13,1.96570586906772e-13,1.94596506134138e-13,1.91767502036981e-13,1.89780919066279e-13,1.83782629325512e-13,1.82671280491656e-13,1.79695843052563e-13,1.72130956790233e-13,1.7001710091557e-13,1.7000930658284e-13,1.68626336492865e-13,1.6787736243676e-13,1.66066175662789e-13,1.62238928376974e-13,1.61053442793458e-13,1.5723573961582e-13,1.56862914955935e-13,1.55614667127013e-13,1.55005054086817e-13,1.54215866642093e-13,1.5095323051486e-13
が良くて,1.1524877565622e-14,0,1,0,1,0,0,0,2,0,1,2,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
にある,1.09756033757507e-14,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,5,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,3,6,0,0,0,0,1
が悪いです,1.09271992486215e-14,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,0
を考えると,1.08268988385818e-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,1,0,1,1,0,0,0
もいい,1.07913770477343e-14,0,0,2,0,1,0,0,0,0,3,3,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,2,5,0,1,0,0,2,0,3,0,0,2,0,0
も良いので,1.07210574497711e-14,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,1,0,0,2,2,0,0,0,1,0,0,0
は感じです,1.07002752097047e-14,2,0,0,0,1,0,0,2,0,3,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,5,0,0
が良いと,1.06976498550674e-14,0,0,0,0,0,2,0,2,1,1,2,2,0,0,0,0,4,9,0,1,0,1,1,0,0,0,0,2,0,6,0,0,0,0,2,1,1,1,1,0
も悪くなく,1.06792248903386e-14,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
もいいし,1.02333997972382e-14,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0
はいいと,1.0132469704385e-14,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,9,0,3,0,1,0,0,3,2,0,6,1,1
も良くて,9.92774702608792e-15,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
で満足しています,9.89245976856905e-15,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3
は良いです,9.75313693282905e-15,1,1,0,1,2,0,0,10,1,14,4,0,0,0,0,2,5,5,0,0,0,3,0,0,0,0,0,6,1,10,0,1,0,1,10,1,6,2,2,3
が高い,9.63861775307432e-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,1,0
がいいと,9.54488762203215e-15,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0
も満足しています,9.51184169636792e-15,0,0,0,0,4,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
が感じます,9.42589782470405e-15,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
があります,9.30674946912163e-15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5
がよいです,9.3063597391066e-15,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1
が悪いので,9.2544151962532e-15,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が良くない,9.21533236324678e-15,0,0,0,0,1,0,1,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
といい,9.15833789128723e-15,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
