"",weight,持ち,位置,バランス,レスポンス,使い勝手,もち,反応,ホールド感,質,操作性,ホールド性,感度,発色,AF精度,携帯性,精度,視認性,重量バランス,条件,画質,色,色乗り,デザイン,相性,写り,目,音,色のり,気持ち,フィーリング,評判,解像感,コントラスト,・画質,性能,感触,グリップ感,解像度,天気,音質,気分,ヌケ,質感,ISO,出来,切れ,ISO感度,見た目,背面液晶,重さ,画像,映り,描写,ハンドリング,描写力,品質,使用頻度,①操作性,(?),コストパフォーマンス
weight,"",0.000679307360259169,0.000625657280422061,0.000611192730097837,0.000594831235481573,0.000561673597059605,0.000537275569895694,0.000495710591142269,0.000491937113344508,0.000477991109205337,0.000457019421943788,0.000452778986257995,0.000440392071085781,0.000439550051407523,0.000418300724161701,0.000416225398873283,0.000403059220549505,0.000391923893679254,0.000386875809880683,0.00037915474726899,0.000378974385492774,0.000374659063573375,0.000363169375767481,0.000356586140386291,0.00034992056633055,0.000343443245617803,0.000335995904426466,0.000328489267249478,0.000323957413465324,0.000318386517377556,0.000304633843946967,0.000296638438465454,0.000277160292552871,0.00027460735824279,0.000273402364342559,0.000270213591635756,0.000267861527481929,0.000267296521442634,0.000264991060285949,0.000256950968872101,0.000256677953425314,0.000252523500879736,0.000252165188880758,0.000252033775650392,0.000246452508894689,0.000243902111497709,0.000239575771845964,0.000238287620411893,0.000235898506191019,0.00023548509305889,0.000235143436690101,0.000234126244409219,0.000226142030865816,0.00022336904537876,0.000223083064064716,0.000222421422237528,0.000220716658121365,0.000219854927336762,0.000218176012540715,0.000217765470343977,0.000217693610806247
も良好です,1.77084491442126e-05,1,0,0,2,1,0,0,2,0,3,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
が悪いので,1.73323627668287e-05,5,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,1.69950880495001e-05,6,1,0,1,1,1,0,3,0,3,0,0,1,0,1,1,0,1,0,9,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0
はいいと,1.67815310302099e-05,0,1,4,0,3,2,0,0,0,9,0,0,0,0,0,1,0,0,0,11,0,0,6,2,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
は良いです,1.65101116990187e-05,10,0,5,1,10,1,0,14,0,6,2,0,2,1,3,1,0,0,0,13,0,1,2,0,4,0,0,1,0,1,0,1,0,0,0,6,1,1,0,0,0,0,4,0,1,0,0,0,1,2,2,0,5,0,1,0,0,0,0,4
が高い,1.64330923631797e-05,0,0,2,0,0,0,0,1,1,3,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,6,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,14
が良くない,1.60249332080644e-05,5,0,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がなります,1.60118713148254e-05,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
は良く,1.59515027518087e-05,2,0,3,1,1,0,0,1,0,2,0,0,0,1,4,0,2,0,0,7,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
の高い,1.59228757186184e-05,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0,1,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,36
が良くて,1.58508406347283e-05,2,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
が感じます,1.57128354181702e-05,2,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
はいいですね,1.56743646018026e-05,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
がいい,1.55063931341595e-05,10,0,4,1,1,1,0,1,0,1,1,0,3,0,1,0,0,0,0,9,2,0,1,0,5,0,0,0,9,0,3,0,0,2,2,1,1,0,0,0,1,0,4,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1
があります,1.53131680728284e-05,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
がいいので,1.52916117789281e-05,6,1,0,1,1,1,0,1,0,2,0,0,0,0,5,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
が高いので,1.51052218508091e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2
は良い,1.50481830544054e-05,4,0,2,1,1,0,0,7,0,2,1,0,0,0,3,0,0,0,0,7,2,0,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
も良いので,1.47478519205933e-05,4,0,3,0,0,0,0,4,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
が良いので,1.47391493545068e-05,2,0,2,1,3,0,0,3,0,2,1,1,1,0,1,1,0,0,0,5,1,0,2,1,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
にありません,1.45398051365644e-05,1,0,0,0,1,0,0,2,0,3,0,0,0,2,1,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0
を上げて,1.45347523416669e-05,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
がいいと,1.45104916594177e-05,2,0,4,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も高く,1.44396199359199e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
は高い,1.43915453285232e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
を考えると,1.4225787913615e-05,0,0,8,0,4,1,0,0,0,3,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,10
がイマイチ,1.41926441505252e-05,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いと,1.41043282812314e-05,8,0,8,1,5,1,2,4,0,10,0,0,0,0,12,2,0,0,0,19,1,0,11,1,5,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
が良いと,1.38637334000801e-05,2,0,9,0,6,1,0,1,0,2,0,1,0,0,1,0,0,2,0,13,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
が悪いのが,1.38572576547379e-05,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
があり,1.38040412931794e-05,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,8,1,0,0,0,0,1,0,0,0,0,4,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0
がよいです,1.37883087450125e-05,1,0,0,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じです,1.373867262013e-05,2,1,0,0,0,1,0,3,0,3,0,0,1,0,2,0,1,0,0,2,1,0,5,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
もいいですね,1.368246694478e-05,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
が高いです,1.32998975478946e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
もよい,1.32236181949162e-05,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
はありません,1.31632240920648e-05,9,0,0,1,4,0,0,9,0,11,1,0,1,1,11,1,0,0,0,18,0,0,0,1,6,0,0,0,1,0,0,0,0,0,1,2,1,2,0,2,0,0,2,1,0,0,0,0,0,1,3,0,4,0,2,0,1,0,0,0
は高いです,1.31581906615144e-05,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4
が良いのか,1.30973857483194e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いですね,1.2874186471304e-05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
になります,1.28537675231682e-05,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,1,7,0,0,0,0,0,0,0
は方だと,1.28392731962514e-05,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いのと,1.27458552529283e-05,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪くなく,1.2612113531338e-05,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
にあります,1.2440343650369e-05,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
がよいと,1.24211739636739e-05,0,0,0,0,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
を上げる,1.24089380821275e-05,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
を上げると,1.23579544984429e-05,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
もありません,1.23345001444809e-05,0,0,0,0,1,0,0,5,0,1,1,0,1,1,1,1,1,0,0,6,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
もいい,1.225707091539e-05,0,0,2,0,1,0,0,3,0,5,0,1,1,0,0,0,0,0,0,4,2,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
もあります,1.21496676787019e-05,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
も良いし,1.21347965825952e-05,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
が高く,1.20694354031218e-05,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4
がよければ,1.20476334636735e-05,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
がなる,1.18843502409713e-05,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0
が低い,1.18273874586675e-05,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
はいいです,1.18203318636028e-05,1,0,0,0,3,0,0,2,0,4,0,0,1,1,10,0,0,0,0,11,0,1,3,1,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1
は良いですが,1.18090951322709e-05,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
にある,1.1787669024887e-05,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,3,0,0,0,0,0
のある,1.16651755761272e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,2,0,0,7,0,0,0,1,0,0,0,0,4,0,0,0,0,0
も良くて,1.16170331806777e-05,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いようです,1.15645859260158e-05,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も悪い,1.15483238820112e-05,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は落ちますが,1.15408686382996e-05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
も秀逸です,1.15357895275741e-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいので,1.14688651030884e-05,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
がありません,1.14378988035341e-05,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
がよくない,1.13789665463721e-05,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
にあり,1.13290557608719e-05,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
にあるので,1.12582965519964e-05,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も満足しています,1.12532094706594e-05,1,0,1,0,0,0,0,2,1,2,0,0,4,1,0,0,0,0,0,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はよく,1.12125970573173e-05,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良好,1.11542478079748e-05,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が悪かったので,1.11041424894683e-05,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
